ST01|M01|ROOM01|2026-09-17|09:00|85000
ST02|M01|ROOM02|2026-09-17|14:00|85000
ST03|M01|ROOM01|2026-09-17|19:30|90000
ST04|M02|ROOM03|2026-09-17|10:00|80000
ST05|M02|ROOM04|2026-09-17|15:00|80000
ST06|M02|ROOM03|2026-09-17|20:00|90000
ST07|M03|ROOM05|2026-09-17|11:00|85000
ST08|M03|ROOM01|2026-09-17|16:00|85000
ST09|M03|ROOM02|2026-09-17|21:00|90000
ST10|M04|ROOM02|2026-09-18|08:30|70000
ST11|M04|ROOM04|2026-09-18|13:30|70000
ST12|M04|ROOM05|2026-09-18|18:30|75000
ST13|M05|ROOM01|2026-09-18|09:15|85000
ST14|M05|ROOM03|2026-09-18|14:45|85000
ST15|M05|ROOM04|2026-09-18|20:15|95000
ST16|M06|ROOM05|2026-09-19|10:30|80000
ST17|M06|ROOM02|2026-09-19|15:30|80000
ST18|M06|ROOM01|2026-09-19|21:15|90000
ST19|M07|ROOM03|2026-09-19|09:45|80000
ST20|M07|ROOM04|2026-09-19|14:15|80000
ST21|M07|ROOM05|2026-09-19|19:45|85000
ST22|M08|ROOM01|2026-09-20|11:15|90000
ST23|M08|ROOM02|2026-09-20|16:45|90000
ST24|M08|ROOM03|2026-09-20|22:00|95000
ST25|M09|ROOM04|2026-09-20|08:00|70000
ST26|M09|ROOM05|2026-09-20|13:00|70000
ST27|M09|ROOM01|2026-09-20|17:30|75000
ST28|M10|ROOM02|2026-09-21|10:15|80000
ST29|M10|ROOM03|2026-09-21|15:45|80000
ST30|M10|ROOM04|2026-09-21|20:30|85000
